"Key            Name:Suffix                                Trend Definitions Used"
"Point_1:","1A042.2-29_1-P039 ROOM TEMP","","5 minutes"
"Point_2:","1AHU140.RM166.RMH","","5 minutes"
"Point_3:","","","5 minutes"
"Time Interval:","5 Minutes"
"Date Range:","4/6/2026 00:00:00 - 4/6/2026 23:55:00"
"Report Timings:","All Hours"
""
"<>Date","Time","Point_1","Point_2","Point_3"
"4/6/2026","16:10:00","22.1","44.5","11.4"
"4/6/2026","16:15:00","22.2","44.9","10.3"
"4/6/2026","16:20:00","21.5","47.4","11.5"
"4/6/2026","16:25:00","21.7","45.5","11.1"
"4/6/2026","16:30:00","22.1","44.7","11.3"
"4/6/2026","16:35:00","21.8","46.6","17.8"
"4/6/2026","16:40:00","21.3","47.5","21.8"
"4/6/2026","16:45:00","21.7","45.9","16.6"
"4/6/2026","16:50:00","21.9","45.9","10.8"
"4/6/2026","16:55:00","21.1","49.2","10.4"
"4/6/2026","17:00:00","21.0","47.4","16.1"
"4/6/2026","17:05:00","21.5","46.3","16.5"
"4/6/2026","17:10:00","21.8","46.0","16.0"
"4/6/2026","17:15:00","21.2","49.1","16.2"
"4/6/2026","17:20:00","21.4","47.6","16.1"
"4/6/2026","17:25:00","21.7","46.8","15.4"
"4/6/2026","17:30:00","21.4","48.5","15.4"
"4/6/2026","17:35:00","21.2","48.3","15.7"
"4/6/2026","17:40:00","21.5","47.0","15.1"
"4/6/2026","17:45:00","21.8","46.5","13.8"
"4/6/2026","17:50:00","21.1","49.5","14.6"
"4/6/2026","17:55:00","21.3","47.6","15.4"
"4/6/2026","18:00:00","21.6","46.6","15.8"
"4/6/2026","18:05:00","21.7","46.6","14.3"
"4/6/2026","18:10:00","21.0","49.3","15.1"
"4/6/2026","18:15:00","21.2","47.4","15.2"
"4/6/2026","18:20:00","21.6","46.6","15.0"
"4/6/2026","18:25:00","21.8","46.2","18.3"
"4/6/2026","18:30:00","21.1","49.1","25.9"
"4/6/2026","18:35:00","21.2","47.0","18.7"
"4/6/2026","18:40:00","21.5","46.9","15.7"
"4/6/2026","18:45:00","21.7","46.6","14.5"
"4/6/2026","18:50:00","21.3","48.5","13.6"
"4/6/2026","18:55:00","21.1","48.1","14.3"
"4/6/2026","19:00:00","21.4","46.9","14.0"
"4/6/2026","19:05:00","21.8","46.4","13.1"
"4/6/2026","19:10:00","21.4","48.1","14.2"
"4/6/2026","19:15:00","21.1","48.3","13.8"
"4/6/2026","19:20:00","21.4","46.8","13.8"
"4/6/2026","19:25:00","21.6","46.3","14.6"
"4/6/2026","19:30:00","21.8","46.2","14.2"
"4/6/2026","19:35:00","21.0","49.1","15.3"
"4/6/2026","19:40:00","21.1","47.6","14.5"
"4/6/2026","19:45:00","21.4","46.6","15.1"
"4/6/2026","19:50:00","21.7","46.2","14.4"
"4/6/2026","19:55:00","21.8","46.1","14.3"
"4/6/2026","20:00:00","21.1","48.6","14.2"
"4/6/2026","20:05:00","21.3","47.2","14.5"
"4/6/2026","20:10:00","21.5","46.4","14.7"
"4/6/2026","20:15:00","21.7","46.1","15.1"
"4/6/2026","20:20:00","21.4","47.8","15.0"
"4/6/2026","20:25:00","21.1","48.1","14.6"
"4/6/2026","20:30:00","21.4","46.9","15.5"
"4/6/2026","20:35:00","21.6","46.4","14.6"
"4/6/2026","20:40:00","21.8","46.0","14.5"
